,Symbol,Description,Category2,Category3,GICSSector,MarketCap,DividendYield,Country,Action,InstrumentId
779,HTZ,"Hertz Global Holdings, Inc",Common stocks,Mid cap,Industrials,"$5,844,162,923",0.00%,USA,Analyze,58dfacbd-4492-4852-9641-cb191faba14d
780,CR,Crane,Common stocks,Mid cap,Industrials,"$5,840,704,741",0.45%,USA,Analyze,12318673-ba57-4169-b20f-473ff5b288ee
781,DTM,"DT Midstream, Inc.",Common stocks,Mid cap,Energy,"$5,833,116,765",4.11%,USA,Analyze,24463946-96cf-4af7-b22c-ae14c12d9dfa
782,NYT,New York Times Class A,Common stocks,Mid cap,Communication Services,"$5,823,225,262",0.96%,USA,Analyze,54e96481-1912-4b9a-ac2c-3aee5e7e7709
783,ELAN,Elanco Animal Health Incorporated,Common stocks,Mid cap,Health Care,"$5,813,758,572",0.00%,USA,Analyze,2a4ef841-a51a-4322-8c1d-cb00d49d744c
784,WTFC,Wintrust Financial Corp,Common stocks,Mid cap,Financials,"$5,774,523,893",1.42%,USA,Analyze,9a39205c-1ea7-4028-bc54-8a218acc377d
785,VRT,"Vertiv Holdings, LLC Class A",Common stocks,Mid cap,Industrials,"$5,765,075,943",0.07%,USA,Analyze,20e966b3-6aa1-4281-9bf0-5db52e2e8868
786,MP,MP Materials Corp.,Common stocks,Mid cap,Materials,"$5,752,394,075",0.00%,USA,Analyze,8d16f94a-5b67-4d52-b401-51a51ad62b83
787,CCCS,CCC Intelligent Solutions Holdings Inc.,Common stocks,Mid cap,Information Technology,"$5,741,580,959",0.00%,USA,Analyze,5cfb0ce4-ee31-4aaa-9b20-b221f1e1f198
788,AIRC,Apartment Income REIT Corp.,REITs,Mid cap,Real Estate,"$5,731,759,712",3.50%,USA,Analyze,b2e7068f-ff63-492c-ae50-db7ea712e102
789,FCN,FTI Consulting Inc,Common stocks,Mid cap,Industrials,"$5,716,645,878",0.00%,USA,Analyze,041ec8d5-fb48-4dc5-956b-8c4615e44d7c
790,LFUS,Littelfuse Inc,Common stocks,Mid cap,Information Technology,"$5,712,195,483",0.95%,USA,Analyze,faf8ca83-8ff5-4705-8eda-9ca6301b6362
791,SON,Sonoco Products,Common stocks,Mid cap,Materials,"$5,706,415,466",3.24%,USA,Analyze,d76651ee-b507-4bfa-b154-e2ac43dae416
792,EHC,Encompass Health Corp,Common stocks,Mid cap,Health Care,"$5,704,906,544",1.52%,USA,Analyze,2b4a601d-4976-4ddb-91cf-8a259f634b2c
793,AXTA,Axalta Coating Systems Ltd,Common stocks,Mid cap,Materials,"$5,689,504,434",0.00%,USA,Analyze,89ba997b-cc2c-4fa6-bc0a-ee4eae811583
794,BWXT,BWX Technologies Inc,Common stocks,Mid cap,Industrials,"$5,671,289,645",1.39%,USA,Analyze,16e81f72-28e8-46fe-8bb6-03cea9f96e1f
795,TOST,"Toast, Inc.",Common stocks,Mid cap,Information Technology,"$5,666,699,860",0.00%,USA,Analyze,5b3acd78-34eb-4ac2-b41d-984587ca6529
796,OZK,Bank of the Ozarks,Common stocks,Mid cap,Financials,"$5,658,201,818",2.68%,USA,Analyze,f7526dda-2967-4377-89a7-e79234557c2f
797,BEPC,Brookfield Renewable Corporation Class A,Common stocks,Mid cap,Utilities,"$5,653,932,961",4.31%,Canada,Analyze,c59a7c14-65c2-4c27-8d5e-957a5d19492d
798,OWL,Blue Owl Capital Inc. Class A,Common stocks,Mid cap,Financials,"$5,614,087,642",3.09%,USA,Analyze,34e41ae3-19cc-46e3-9406-2364b8bbe1e6
799,SRC,"Spirit Realty Capital, Inc",REITs,Mid cap,Real Estate,"$5,608,755,279",6.26%,USA,Analyze,953d25e3-61cb-4b0e-ba62-c40fa2a6f851
800,VVV,Valvoline Inc,Common stocks,Mid cap,Materials,"$5,608,004,878",1.57%,USA,Analyze,4b7b4083-7281-4418-a623-e48a500f867d
801,NWL,Newell Brands Inc,Common stocks,Mid cap,Consumer Discretionary,"$5,562,920,000",6.73%,USA,Analyze,1f495bf7-1653-4a89-b5a4-8c2df13f0694
802,FAF,First American Financial Corp,Common stocks,Mid cap,Financials,"$5,540,517,116",3.78%,USA,Analyze,a85eb83f-e39f-4476-9b0a-82e28200114d
803,BC,Brunswick Corp,Common stocks,Mid cap,Consumer Discretionary,"$5,484,392,795",1.88%,USA,Analyze,e9398d5a-d9f3-4f15-afb7-57d8071763fb
804,SLGN,Silgan Holdings Inc,Common stocks,Mid cap,Materials,"$5,476,430,598",1.24%,USA,Analyze,81455a64-890a-4563-bda1-f74ca9257971
