,Symbol,Description,Category2,Category3,GICSSector,MarketCap,DividendYield,Country,Action,InstrumentId
903,SAM,Boston Beer Inc Class A,Common stocks,Mid cap,Consumer Staples,"$3,782,199,805",0.00%,USA,Analyze,7070aab5-6edb-4ca2-a1bb-85477b095081
904,ICUI,ICU Medical Inc,Common stocks,Mid cap,Health Care,"$3,756,715,760",0.00%,USA,Analyze,5a964ac3-2b6f-41b0-877a-9e68b1ee61e1
905,PINC,Premier Inc Class A,Common stocks,Mid cap,Health Care,"$3,745,757,202",2.55%,USA,Analyze,f7b53dd2-4e94-42a8-aca3-ef1b1207e1ba
906,BHF,Brighthouse Financial,Common stocks,Mid cap,Financials,"$3,728,164,343",0.00%,USA,Analyze,159ddadf-caa9-42f3-a933-e47dbc934e50
907,NSA,National Storage Affiliates Trust,REITs,Mid cap,Real Estate,"$3,724,570,246",4.92%,USA,Analyze,f1668b52-f9ad-4aaa-ab75-3dd9ff3371e8
908,NTRA,Natera Inc,Common stocks,Mid cap,Health Care,"$3,696,984,137",0.00%,USA,Analyze,984f9f50-458f-4c6e-a39b-827f3813aab1
909,AGO,Assured Guaranty Ltd,Common stocks,Mid cap,Financials,"$3,675,860,442",1.57%,USA,Analyze,d086c795-256e-4398-8133-5fea8a30734c
910,PVH,PVH Corp,Common stocks,Mid cap,Consumer Discretionary,"$3,668,693,569",0.27%,USA,Analyze,3c582020-d702-4c8a-b69a-4df7c57d0f49
911,S,"SentinelOne, Inc.",Common stocks,Mid cap,Information Technology,"$3,662,461,268",0.00%,USA,Analyze,97641e3d-2b48-4b12-a5b6-e9a076d2eff5
912,TXG,"10x Genomics, Inc.",Common stocks,Mid cap,Health Care,"$3,615,450,780",0.00%,USA,Analyze,02211486-6394-4c50-881f-3775e1ea9615
913,AWI,Armstrong World Industries Inc,Common stocks,Mid cap,Industrials,"$3,608,731,321",1.19%,USA,Analyze,03477e9a-4161-43eb-9a81-1f01bc83fcc9
914,CNM,"Core & Main, Inc.",Common stocks,Mid cap,Industrials,"$3,571,023,172",0.00%,USA,Analyze,cf19f506-0529-4b0b-bc5d-5f26ec7c7453
915,AZTA,"Azenta, Inc.",Common stocks,Mid cap,Health Care,"$3,549,215,313",0.21%,USA,Analyze,e7dcf0a3-ea6a-4cd6-a056-a6a8c8a17cbb
916,PLTK,Playtika Holding Corp.,Common stocks,Mid cap,Communication Services,"$3,510,129,421",0.00%,Israel,Analyze,1a8b2e94-59c1-4418-8682-42483b886815
917,KMPR,Kemper Corp,Common stocks,Mid cap,Financials,"$3,508,571,999",2.24%,USA,Analyze,46e85289-c09c-42ba-991c-00a30253225e
918,VSCO,Victorias Secret & Co.,Common stocks,Mid cap,Consumer Discretionary,"$3,497,619,292",0.00%,USA,Analyze,4cc695f6-6007-480a-859b-9c7fcf666308
919,AFRM,"Affirm Holdings, Inc.",Common stocks,Mid cap,Information Technology,"$3,448,394,142",0.00%,USA,Analyze,0f82ee60-f302-47a8-aef3-005210b20928
920,OLLI,Ollies Bargain Outlet Holdings Inc,Common stocks,Mid cap,Consumer Discretionary,"$3,440,570,706",0.00%,USA,Analyze,17ee87f7-855d-423c-9d70-c873cb56c159
921,YETI,"Yeti Holdings, Inc.",Common stocks,Mid cap,Consumer Discretionary,"$3,440,138,734",0.00%,USA,Analyze,63f963ba-a304-405c-b727-7204b47dc5f3
922,FHB,First Hawaiian Inc,Common stocks,Mid cap,Financials,"$3,438,438,127",3.81%,USA,Analyze,ef93dd64-cf14-48f9-88fe-8fb08e37af91
923,WTM,White Mountains Insurance Group Ltd,Common stocks,Mid cap,Financials,"$3,426,388,560",0.08%,USA,Analyze,5ed9cd25-75d3-423b-880e-32e452504588
924,KSS,Kohls Corporation,Common stocks,Mid cap,Consumer Discretionary,"$3,425,658,647",5.92%,USA,Analyze,5448380e-fb98-499a-adbe-5c7e02563597
925,SYNH,Syneos Health Inc,Common stocks,Mid cap,Health Care,"$3,395,832,792",0.00%,USA,Analyze,d38e9079-30ff-45a1-b7a0-1c3e009ef5f6
926,OLPX,"Olaplex Holdings, Inc.",Common stocks,Mid cap,Consumer Staples,"$3,381,747,558",0.00%,USA,Analyze,97fd5cf8-8e69-4361-9f59-b6df289b0308
927,UA,Under Armour Inc Class C,Common stocks,Mid cap,Consumer Discretionary,"$3,361,846,249",0.00%,USA,Analyze,ca6f3da5-c8f7-48c9-948e-b74aed0d6816
928,UAA,Under Armour Inc Class A,Common stocks,Mid cap,Consumer Discretionary,"$3,361,846,249",0.00%,USA,Analyze,4c799e5b-628a-484c-a218-45a1086d0ad0
929,LOPE,Grand Canyon Education Inc,Common stocks,Mid cap,Consumer Discretionary,"$3,361,404,529",0.00%,USA,Analyze,c5d01894-3a6d-48a8-9a14-abbfc239d43f
930,SMG,Scotts Miracle Gro,Common stocks,Mid cap,Materials,"$3,326,555,166",4.35%,USA,Analyze,3fe18546-6110-4cf5-8c08-bd4ff7220d93
931,HHC,Howard Hughes Corp,Common stocks,Mid cap,Real Estate,"$3,310,922,857",0.00%,USA,Analyze,fee277d4-bda3-4b59-a35e-a4b6694a7802
932,GTES,Gates Industrial Corporation Plc,Common stocks,Mid cap,Industrials,"$3,304,646,198",0.00%,USA,Analyze,bbdbe7ea-9d30-40a4-9269-f2505dec7e58
933,JWN,Nordstrom Inc,Common stocks,Mid cap,Consumer Discretionary,"$3,282,892,232",2.74%,USA,Analyze,98dbc601-3a75-497a-8140-666dedcb3db1
934,WWE,World Wrestling Entertainment Inc,Common stocks,Mid cap,Communication Services,"$3,273,917,159",0.63%,USA,Analyze,22d06bdc-bf27-4d88-9284-9921dfb884d9
935,CFLT,"Confluent, Inc.",Common stocks,Mid cap,Information Technology,"$3,262,172,987",0.00%,USA,Analyze,2a4afc85-bc23-4528-a905-b1db6982e755
936,AMC,AMC Entertainment Holdings Inc Class A,Common stocks,Mid cap,Communication Services,"$3,259,420,496",0.00%,USA,Analyze,681574a9-a045-490d-a5f2-889f188c4605
937,BOH,Bank Of Hawaii Corp.,Common stocks,Mid cap,Financials,"$3,221,833,313",3.43%,USA,Analyze,6ee9c707-b749-44e5-9f6c-71aebbbb3a0a
938,FRPT,Freshpet Inc,Common stocks,Mid cap,Consumer Staples,"$3,217,824,891",0.00%,USA,Analyze,098f216f-a355-486d-a1f7-35504c084944
939,TNL,Travel & Leisure Co.,Common stocks,Mid cap,Consumer Discretionary,"$3,198,392,594",3.89%,USA,Analyze,ebf2d927-68eb-45e0-be3d-92568ab2821b
940,TDC,Teradata Corp,Common stocks,Mid cap,Information Technology,"$3,177,178,000",0.00%,USA,Analyze,4c3ec5b3-2569-4361-88ef-409521afb2ef
941,VNT,Vontier Corporation,Common stocks,Mid cap,Information Technology,"$3,161,448,634",0.50%,USA,Analyze,78801de9-221a-4a9e-b6b2-40a9c1fb242c
942,PACW,Pacwest Bancorp,Common stocks,Mid cap,Financials,"$3,152,546,602",3.69%,USA,Analyze,63257ad0-d4ec-404d-9e4d-519debdf62c2
943,HIW,"Highwoods Properties, Inc",REITs,Mid cap,Real Estate,"$3,150,669,857",6.54%,USA,Analyze,0c03e86a-953f-46fa-b394-b790a5e5d16f
944,RNG,Ringcentral Inc Class A,Common stocks,Mid cap,Information Technology,"$3,149,895,586",0.00%,USA,Analyze,67c46883-54e1-4e8a-9a61-3995634f49b4
945,PTON,"Peloton Interactive, Inc. Class A",Common stocks,Mid cap,Consumer Discretionary,"$3,122,636,412",0.00%,USA,Analyze,63893a46-50b6-43db-88ce-10d7340a0c69
946,SSRM,SSR Mining Inc.,Common stocks,Mid cap,Materials,"$3,113,451,783",1.72%,Canada,Analyze,2ea6f1da-9070-4b9d-b909-99b32d7e528c
947,SPR,Spirit Aerosystems Inc,Common stocks,Mid cap,Industrials,"$3,090,244,903",0.14%,USA,Analyze,258dbaf2-8f3a-4fac-a40e-0b6f086e18c4
948,NCR,NCR Corp,Common stocks,Mid cap,Information Technology,"$3,053,028,000",0.00%,USA,Analyze,3cbbf0c3-8070-4ade-9260-078e8b41b0f9
949,NEU,Newmarket Corp,Common stocks,Mid cap,Materials,"$3,041,390,664",2.70%,USA,Analyze,edfe46d0-faf1-4c5c-9b22-18b2bbc20d4f
950,DEI,"Douglas Emmett, Inc",REITs,Mid cap,Real Estate,"$3,027,084,944",6.38%,USA,Analyze,33574035-1b67-4fc2-aaec-2566556809c6
951,EPR,EPR Properties,REITs,Mid cap,Real Estate,"$3,004,593,093",7.73%,USA,Analyze,41a1418a-1b82-4f27-bfcd-965d87cc334e
952,W,Wayfair Inc Class A,Common stocks,Mid cap,Consumer Discretionary,"$2,996,645,197",0.00%,USA,Analyze,6390d8af-27a8-4768-b483-c4f7abd1f602
953,ENOV,Enovis Corporation,Common stocks,Mid cap,Health Care,"$2,988,520,784",0.00%,USA,Analyze,b8ed5163-5983-4179-88f0-917a2f51c48c
954,PEGA,Pegasystems Inc,Common stocks,Mid cap,Information Technology,"$2,984,353,649",0.33%,USA,Analyze,e77841ca-a6e3-4ad4-99d4-882dbc3e7366
955,MSGS,Madison Square Garden Sports Corp. Class A,Common stocks,Mid cap,Communication Services,"$2,972,382,718",0.00%,USA,Analyze,ae307f9a-e953-48bc-add9-401697b0be3d
956,MRCY,Mercury Systems Inc,Common stocks,Mid cap,Industrials,"$2,962,322,349",0.00%,USA,Analyze,54b01551-057a-42db-bce2-583747e7da49
957,NCNO,"nCino, Inc.",Common stocks,Mid cap,Information Technology,"$2,957,497,290",0.00%,USA,Analyze,77ac9c8c-88e3-437a-91b1-de8cb1d83a58
958,AMED,Amedisys Inc,Common stocks,Mid cap,Health Care,"$2,910,307,365",0.00%,USA,Analyze,13b23824-1689-4d3f-bd45-268a92bddf17
959,DOCS,"Doximity, Inc.",Common stocks,Mid cap,Health Care,"$2,908,711,172",0.00%,USA,Analyze,a8b874cb-36c4-4111-a602-5f6e663abb25
960,AYX,Alteryx Inc Class A,Common stocks,Mid cap,Information Technology,"$2,907,301,625",0.00%,USA,Analyze,f69573b8-d80a-4df9-9c36-4fdd2be5c70f
961,AZEK,The AZEK Company Inc. Class A,Common stocks,Mid cap,Industrials,"$2,903,911,318",0.00%,USA,Analyze,6ddeaa62-5a51-4205-a0d3-9b088806295b
962,DNA,"Ginkgo Bioworks Holdings, Inc. Class A",Common stocks,Mid cap,Materials,"$2,903,190,420",0.00%,USA,Analyze,bf0e8f54-791a-4237-a034-934db7fbd219
963,GO,Grocery Outlet Holding Corp.,Common stocks,Mid cap,Consumer Staples,"$2,884,649,954",0.00%,USA,Analyze,122f275d-a429-4766-b1c7-d7794cd87fc2
964,LESL,"Leslies, Inc.",Common stocks,Mid cap,Consumer Discretionary,"$2,842,419,933",0.00%,USA,Analyze,4ec4bc73-ed7a-4648-b3a9-db1b8368af33
965,MCW,"Mister Car Wash, Inc.",Common stocks,Mid cap,Consumer Discretionary,"$2,817,750,763",0.00%,USA,Analyze,fb67ee8e-637c-466b-80cf-b597790c73f6
966,PK,Park Hotels & Resorts Inc,REITs,Mid cap,Real Estate,"$2,774,565,446",0.24%,USA,Analyze,9683b129-b643-46ec-a8a7-8027e057266d
967,AMBP,Ardagh Metal Packaging S.A.,Common stocks,Mid cap,Materials,"$2,732,936,710",8.59%,Luxembourg,Analyze,2ed20624-bf9f-443c-9d01-87abcff5de8f
968,CRI,Carters Inc,Common stocks,Mid cap,Consumer Discretionary,"$2,667,113,525",4.02%,USA,Analyze,9bc7a983-9523-4a4f-8d5f-6dce9581938a
969,TRIP,TripAdvisor Inc,Common stocks,Mid cap,Communication Services,"$2,665,617,253",0.00%,USA,Analyze,7328fdb2-35ac-41e7-930c-d368585f2f6e
970,RARE,Ultragenyx Pharmaceutical Inc,Common stocks,Mid cap,Health Care,"$2,634,570,477",0.00%,USA,Analyze,282aa569-23ef-4ca3-88fc-d698bb228a01
971,JAMF,Jamf Holding Corp.,Common stocks,Mid cap,Information Technology,"$2,612,930,814",0.00%,USA,Analyze,327a1f2f-1cd5-480a-a53b-f9b599daf3e6
972,SLG,SL Green Realty Corp,REITs,Mid cap,Real Estate,"$2,609,302,189",8.89%,USA,Analyze,b3154d75-f370-4d67-b1a8-047f3ef6be82
973,JBLU,Jetblue Airways Corp,Common stocks,Mid cap,Industrials,"$2,603,976,017",0.00%,USA,Analyze,9fcb8b24-6f4e-42a5-9300-c1062cd2fec2
974,QS,QuantumScape Corporation Class A,Common stocks,Mid cap,Consumer Discretionary,"$2,577,518,143",0.00%,USA,Analyze,a9e9b508-25b1-4d95-94a5-7ed9fc62e38d
975,TWKS,"Thoughtworks Holding, Inc",Common stocks,Mid cap,Information Technology,"$2,563,720,140",0.00%,USA,Analyze,145345f1-bd45-4d43-80d6-828b7d6bbae7
976,ESAB,ESAB Corporation,Common stocks,Mid cap,Industrials,"$2,497,811,389",0.24%,USA,Analyze,f63027ec-7366-4651-873c-ee2ed8b24ada
977,TNDM,Tandem Diabetes Care Inc,Common stocks,Mid cap,Health Care,"$2,486,434,016",0.00%,USA,Analyze,4966fbab-38d6-4eaa-969f-e26e262d8e20
978,VSAT,Viasat Inc,Common stocks,Mid cap,Information Technology,"$2,481,144,921",0.00%,USA,Analyze,89eec724-e25d-4852-860f-146b25995d65
979,WOOF,"Petco Health and Wellness Company, Inc. - Class A",Common stocks,Mid cap,Consumer Discretionary,"$2,438,727,800",0.00%,USA,Analyze,86440764-8ca5-4ff1-b932-3db67f45e0ae
980,FOUR,"Shift4 Payments, Inc. Class A",Common stocks,Mid cap,Information Technology,"$2,389,527,430",0.00%,USA,Analyze,90e14bc4-eb74-404c-8b61-00a2a6165e4f
981,CERT,"Certara, Inc.",Common stocks,Mid cap,Health Care,"$2,382,321,115",0.00%,USA,Analyze,95875469-9ffd-4373-a5bd-84befbd1614a
982,HBI,Hanesbrands Inc,Common stocks,Mid cap,Consumer Discretionary,"$2,372,807,429",6.52%,USA,Analyze,23c6f33c-07c3-484d-9e1e-de2e8ac8aeaa
983,CPA,Copa Holdings SA Class A,Common stocks,Mid cap,Industrials,"$2,353,149,510",7.51%,USA,Analyze,fccfbac9-e6bc-4b30-8523-08f292482c44
984,KD,"Kyndryl Holdings, Inc.",Common stocks,Mid cap,Information Technology,"$2,326,866,046",0.00%,USA,Analyze,3d280b06-b393-4d07-94de-89c1f0617ce1
985,VIRT,Virtu Financial Inc Class A,Common stocks,Mid cap,Financials,"$2,306,412,388",4.11%,USA,Analyze,107f97a5-bb90-4650-84b5-1ea14aa8c55d
986,JBGS,JBG Smith Properties,REITs,Mid cap,Real Estate,"$2,262,104,128",4.46%,USA,Analyze,7501f197-ab12-42c7-a331-732b85e5a809
987,ATUS,"Altice USA, Inc. Class A",Common stocks,Mid cap,Communication Services,"$2,236,968,666",0.00%,USA,Analyze,b48b0750-797d-4f79-ada8-359d44abf12f
988,SNDR,Schneider National Inc Class B,Common stocks,Mid cap,Industrials,"$2,231,145,502",1.31%,USA,Analyze,3de84624-4248-4cc9-a553-1e6f30d9a61e
989,HAYW,"Hayward Holdings, Inc.",Common stocks,Mid cap,Industrials,"$2,201,501,734",0.00%,USA,Analyze,f5f5275a-3cc7-458a-a662-53858cdf23b4
990,SPB,Spectrum Brands Holdings Inc,Common stocks,Mid cap,Consumer Staples,"$2,018,014,781",3.37%,USA,Analyze,9b65db00-af63-4324-8181-87da5bf05177
991,SHC,Sotera Health Co,Common stocks,Small cap,Health Care,"$1,966,331,088",0.00%,USA,Analyze,799356ca-41fb-449e-85dc-cb375ab3325b
992,MRVI,"Maravai LifeSciences Holdings, Inc",Common stocks,Small cap,Health Care,"$1,936,263,530",0.00%,USA,Analyze,65dcdbf2-aeea-4731-b3e0-a4aecd07ecfb
993,WE,WeWork Inc. Class A,Common stocks,Small cap,Real Estate,"$1,844,358,672",0.00%,USA,Analyze,e9f3bdb0-7c0a-448f-86e2-dd210ee34800
994,SIX,Six Flags Entertainment Corp,Common stocks,Small cap,Consumer Discretionary,"$1,805,962,416",0.00%,USA,Analyze,d885221a-cc40-41e2-b892-f59e5e33a090
995,UPST,"Upstart Holdings, Inc.",Common stocks,Small cap,Financials,"$1,765,251,665",0.00%,USA,Analyze,94e0e79f-3b56-4135-bc36-9e50cb7790f2
996,NVAX,Novavax Inc,Common stocks,Small cap,Health Care,"$1,729,899,933",0.00%,USA,Analyze,51d99eed-ed01-4b6a-b55c-e4691e19cbe3
997,HPP,"Hudson Pacific Properties, Inc",REITs,Small cap,Real Estate,"$1,624,845,880",8.47%,USA,Analyze,1fc0c86e-775d-4e4f-b131-5ef00ea90607
998,OPEN,Opendoor Technologies Inc,Common stocks,Small cap,Real Estate,"$1,211,326,643",0.00%,USA,Analyze,5710bbf9-ee20-4bd0-9521-9fc81788a089
999,DH,Definitive Healthcare Corp.,Common stocks,Small cap,Health Care,"$1,207,369,912",0.00%,USA,Analyze,39cee97f-33c5-4d0e-88d5-a81c036c42f0
1000,CVNA,Carvana Class A,Common stocks,Small cap,Consumer Discretionary,"$1,058,417,973",0.00%,USA,Analyze,43477ea6-3ffd-48b5-8984-ca52a2c3c420
1001,UHAL,Amerco,Common stocks,Small cap,Industrials,"$1,019,997,132",0.00%,USA,Analyze,b5bf11b7-c06c-44a5-9492-818d1bd7a813
1002,TAP,Molson Coors Brewing Class B,Common stocks,Small cap,Consumer Staples,"$770,016,907",2.85%,USA,Analyze,054e2d20-7879-482a-8727-d2a9c696e96c
1003,EHAB,"Enhabit, Inc.",Common stocks,Small cap,Health Care,"$633,626,994",0.00%,USA,Analyze,77994b3c-7fb3-4992-8bc1-fa793cccfddc
1004,UWMC,UWM Holdings Corporation Class A,Common stocks,Small cap,Financials,"$385,114,292",9.23%,USA,Analyze,8a89c835-5dd3-4143-ad3b-756bb5a51f5c
